temp,rh,rain
11.9,53.4,2
15.2,32,0
17,42.4,0
19.9,57.1,0
22.9,43.3,0
22.6,46.1,0
23.1,47.3,0.4
20,53.8,0.2
19.7,48.8,0
18.8,42.4,0
18.1,31.9,0
18.5,33.3,0
20.8,27.5,0
20.7,45.4,0
20.1,45.1,0
16.2,55.4,0
17.1,57.9,0
19.1,53,0
16.1,78.8,6.5
16.9,65.3,0
16.6,58.6,0
16.6,56.6,0.5
18.1,51.4,0
19.5,38,0
21.3,39.1,0
23,34.8,0
23.3,34.6,0
22.1,39.5,0
19.7,53,0
20.5,45.4,0
19.8,44.8,0
19.3,65.6,0.3
20.9,58,0.1
21.6,40.8,0
20.7,44.4,0
20.9,58.6,0.2
21.4,52.3,0
23.1,44.8,0
23.3,38.9,0
23.7,35.1,0
22.5,62.6,0
23,62,0
23,62.8,0
22.2,66.4,2
24.2,59.5,0
23.7,58.8,0
23.2,59.4,0
22.6,58.9,0.4
23.4,53.1,0
24.8,49.1,0
23.7,52.8,0
23.5,61.3,0
23.6,52.5,0
24.9,46.5,0
26,44.8,0
25.4,49.1,0
25.7,55.3,0
24.3,61.4,0
26.2,55.8,0
27.8,48.3,0
26.5,40.5,0
24.6,44.9,0
24.8,47.1,0
25.3,50.4,0
25.9,60.4,20
21.9,87.8,69.5
21.6,80.1,0
24,62.8,0
22.7,78.1,25
24.4,79.8,0.3
22.7,89.6,72
20.9,88.8,102.5
24.8,62.1,0
25.8,64.5,0
26.3,64.1,0
25.9,67.4,6.5
23.3,83.5,8
24.7,72.3,0
26.1,76.1,76.5
22.8,82.1,8
19.7,89.5,32.5
21.7,80.3,2.5
25.5,70.5,0
26.3,78.8,6
23.9,85.3,72.5
25.6,73.6,1
27.5,67.4,0
27.2,74.4,16.5
27.6,73.9,1
27.8,71.9,0
27.9,68,0
28.1,63.4,0
27.9,68,0
28.5,67.3,0
29.2,66.8,0
28.4,72.3,18
29,66.1,0.1
30.8,56.8,0
30.8,53.6,0
31.3,51.9,0
31.7,50.1,0
31.8,51,0
31.5,54.1,0
30.7,48,0
29.6,51.6,0
29.7,63.5,0
27.4,69.4,0.3
27.7,65,0
25.5,80.3,17
26.6,65,2
26.7,64.3,15.5
23.7,88,136.5
26,68.8,0
27.5,74,0
27.2,80.3,2
27.9,75.8,5
25.4,87.4,59.5
25.3,85.4,137
22,80.5,17
23,68.3,0.1
23.3,70,7.5
25,80.1,11.5
27.5,72.3,0
28.5,59.9,0
26.1,69.5,13.5
25.7,70.3,6
21.4,85.8,34.5
23.8,65.6,0
25.2,69,0
25,65.1,0
24.9,71.4,0
22,84.1,55.5
22.3,61.1,10.5
21.6,52.9,0
22.5,60.6,3
20.2,71.8,25
20.9,68.4,0
23.2,61.4,0
22.8,53.1,0
21.6,68.9,0.5
20,87.1,13.5
19.4,68.5,2
21,56.8,0
19.9,60.1,2.5
17.3,86.8,85.5
20.9,69.4,0
20.6,63.9,0
20.1,69.6,0
